Agency Name,Building/Facility Name,ZIP Code, Year , Gross Floor Area  ,Source kBtu,Source EUI
Agriculture and Markets,NY State Fair,13209,2016-17,706854,87977450,124.46
CUNY,Baruch College Campus,10010,2016-17,1572633,329158700,209.3
CUNY,Brooklyn College Campus,11210,2016-17,2371951,769089350,324.24
CUNY,Central Office Campus,10075,2016-17,124514,39475350,317.04
CUNY,City College Of New York Campus,10031,2016-17,3353318,1142413000,340.68
CUNY,City Tech College Campus,11201,2016-17,1017501,218154440,214.4
CUNY,College Of Staten Island Campus,10314,2016-17,1496668,430426850,287.59
CUNY,Graduate Center,10016,2016-17,680537,134785230,198.06
CUNY,Honors College,10023,2016-17,24096,6168680,256
CUNY,Hunter College Campus,10021,2016-17,2652582,557812050,210.29
CUNY,John Jay College Of Criminal Justice Campus,10019,2016-17,1463371,309949650,211.81
CUNY,Lehman College Campus,10468,2016-17,1618772,431735230,266.71
CUNY,Medgar Evers College Campus,11225,2016-17,571193,173177090,303.18
CUNY,Queens College Campus,11367,2016-17,2730015,570371360,208.93
CUNY,School of Professional Studies,10001,2016-17,62157,10951100,176.18
CUNY,York College Campus,11451,2016-17,937761,235614040,251.25
DASNY,DASNY Headquarters (Albany),12207,2016-17,180000,24139480,134.11
DASNY,Delmar Building,12054,2016-17,43000,7028430,163.45
DEC,Avon Office,14414,2016-17,47028,4918910,104.6
DEC,Herkimer Suboffice,13350,2016-17,22400,567930,25.35
DEC,"New Paltz Regional Office - Office Bldg. (NYSDEC), Region 3",12561,2016-17,41400,4650810,112.34
DEC,Raybrook Office,12977,2016-17,39856,2953460,74.1
DEC,Salmon River Fish Hatchery,13302,2016-17,46400,11799120,254.29
DEC,Stamford Suboffice,12167,2016-17,23949,1708810,71.35
DEC,Warrensburg Suboffice,12885,2016-17,40769,5190230,127.31
DMNA - Armories,Auburn Armory,13021,2016-17,55705,8807040,158.1
DMNA - Armories,Binghamton Armory And Facility Maintenance Shop,13905,2016-17,125401,5603820,44.69
DMNA - Armories,Bronx Armory,10468,2016-17,34265,3666200,107
DMNA - Armories,Buffalo Connecticut Street Armory And Field Maintenance Shop,14213,2016-17,384501,15889870,41.33
DMNA - Armories,Buffalo Masten Ave Armory,14204,2016-17,301743,12955350,42.94
DMNA - Armories,Buffalo Masten Ave Facility Maintenance Shop,14204,2016-17,36696,1921500,52.36
DMNA - Armories,Camp Smith Training Site Campus,10567,2016-17,621292,62557350,100.69
DMNA - Armories,Dunkirk Armory,14048,2016-17,23845,2899570,121.6
DMNA - Armories,Geneseo Armory,14454,2016-17,45252,2470100,54.59
DMNA - Armories,Geneva Armory,14456,2016-17,33626,2135860,63.52
DMNA - Armories,Gloversville Armory,12078,2016-17,42352,2149480,50.75
DMNA - Armories,Hornell Armory,14843,2016-17,41919,1889220,45.07
DMNA - Armories,Horseheads Armory,14845,2016-17,27641,2312180,83.65
DMNA - Armories,Ithaca Armory,14850,2016-17,29661,2058720,69.41
DMNA - Armories,Jamaica Armory And Facility Maintenance Shop,11433,2016-17,312231,23813320,76.27
DMNA - Armories,Jamestown Armory And Facility Maintenance Shop,14701,2016-17,42771,3046580,71.23
DMNA - Armories,Kingston Armory,12401,2016-17,111745,3093200,27.68
DMNA - Armories,Latham Army Aviation Support Facility,12110,2016-17,38797,6995360,180.31
DMNA - Armories,"Latham HQ, Armory And Facility Mainenance Shop Campus",12110,2016-17,196658,32813820,166.86
DMNA - Armories,Leeds Armory,12451,2016-17,37732,1520990,40.31
DMNA - Armories,Lockport Armory,14094,2016-17,28281,2773310,98.06
DMNA - Armories,Morrisonville Armory,12962,2016-17,22187,1214320,54.73
DMNA - Armories,New York Fifth Avenue Armory,10037,2016-17,245395,24829270,101.18
DMNA - Armories,New York Lexington Avenue Armory,10010,2016-17,226785,15052550,66.37
DMNA - Armories,Ogdensburg Armory,13669,2016-17,33963,2286990,67.34
DMNA - Armories,Olean Armory,14760,2016-17,48097,1556460,32.36
DMNA - Armories,Orangeburg Armory,10962,2016-17,28321,1259210,44.46
DMNA - Armories,Peekskill Armory,10566,2016-17,81534,4752500,58.29
DMNA - Armories,Queensbury Armory,12804,2016-17,49363,8187340,165.86
DMNA - Armories,Rochester Patriot Way Armory,14624,2016-17,131436,14096780,107.25
DMNA - Armories,Rochester Patriot Way Army Aviation Support Facility,14624,2016-17,94982,12911480,135.94
DMNA - Armories,Ronkonkoma Armory And Army Aviation Support Facility,11779,2016-17,78694,12660400,160.88
DMNA - Armories,Saranac Lake Armory,12983,2016-17,22862,1122200,49.09
DMNA - Armories,Saratoga Springs Museum,12866,2016-17,37707,3570970,94.7
DMNA - Armories,Staten Island Armory,10314,2016-17,61600,6525920,105.94
DMNA - Armories,Staten Island Combined Support Maintenance Shop,10314,2016-17,27633,6351830,229.86
DMNA - Armories,Troy Glenmore Road Armory And Facility Maintenance Shop,12180,2016-17,80218,8134640,101.41
DMNA - Armories,Troy South Lake Avenue Armory,12180,2016-17,21316,1588760,74.53
DMNA - Armories,Utica Armory,13501,2016-17,106387,17504570,164.54
DMNA - Armories,Whitestone Armory,11357,2016-17,39515,1895060,47.96
DMNA - Armories,Yonkers Armory,10701,2016-17,23762,2457900,103.44
DOCCS,Adirondack Correctional Facility,12977,2016-17,500512,91323760,182.46
